COLOR NAME2	HEX
Mulberry Silk	94766C
Chelsea Mauve	BEAC9F
Cabbage Rose	C59F91
Rose Brocade	996C6E
Deepest Mauve	6D595A
Toile Red	8B534E
Decorous Amber	AC7559
Cajun Red	8D422F
Eastlake Gold	C28E61
Wickerwork	C19E80
Crewel Tan	CBB99B
Empire Gold	C19F6E
Majolica Green	AEB08F
Sheraton Sage	8F8666
Gallery Green	708672
Billiard Green	45584D
Calico	8CA49C
Teal Stencil	627F7B
Festoon Aqua	A0BBB8
Peacock Plume	739694
Queen Anne Lilac	C0B6B4
Patchwork Plum	7E696A
Pewter Tankard	A39B90
Curio Gray	988977
Rosedust	CC8D84
Rachel Pink	E8B9AE
Aristocrat Peach	ECCEB9
Caen Stone	ECD0B1
Acanthus	CDCDB4
Colonial Yellow	EFC488
Dutch Tile Blue	9AABAB
Needlepoint Navy	546670
Rembrandt Ruby	974F49
Roycroft Rose	C08F80
Indian White	EEDAC3
Buckram Binding	D9C3A6
Morris Room Grey	ADA193
Library Pewter	7F7263
Portrait Tone	C4957A
Roycroft Adobe	A76251
Dard Hunter Green	3A4A3F
Ruskin Room Green	ACA17D
Peristyle Brass	AE905E
Hubbard Squash	E9BF8C
Antiquarian Brown	946644
White Hyacinth	F3E5D1
Studio Blue Green	6D817B
Bunglehouse Blue	47626F
Silver Gray	B8B2A2
Classic Light Buff	F0EADC
Classic Ivory	F2E0C3
Pearl Gray	CBCEC5
Porcelain	E9E0D5
Twilight Gray	C8BFB5
Light French Gray	C2C0BB
Classic Sand	D6BCAA
Chinese Red	9E3E33
Jazz Age Coral	F1BFB1
Frostwork	CBD0C2
Alexandrite	598C74
Salon Rose	AB7878
Studio Mauve	C6B9B8
Blue Sky	ABD1C9
Blue Peacock	014E4C
Vogue Green	4B5645
Cascade Green	ACB19F
Belvedere Cream	F0CDA0
Copen Blue	C2CCC4
Rose Tan	CD9C85
Pink Shadow	DEC3B9
Orchid	BC9C9E
Deep Maroon	623F45
Chartreuse	E1D286
Radiant Lilac	A489A0
Holiday Turquoise	8AC6BD
Appleblossom	DAB5B4
Classic French Gray	888782
Sunbeam Yellow	F0D39D
Pinky Beige	C9AA98
Pink Flamingo	CD717B
